original	target	ner_tag
广西道宣慰使获徭酋潘宝下狱其弟潘见遂寇柳州命湖广行省左丞乞住捕之	广西道宣慰使获徭酋潘宝下狱，其弟潘见遂寇柳州，命湖广行省左丞乞住捕之。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
甲申诏皇孙抚诸军讨叛王火鲁火孙合丹秃鲁干	甲申，诏皇孙抚诸军讨叛王火鲁火孙、合丹秃鲁干。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 0]
埤而正者增高而倚者崩	埤而正者增，高而倚者崩。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
孔子曰微管仲吾其被发左衽矣	孔子曰：微管仲，吾其被发左衽矣。	[13, 13, 3, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
它日宰相李逢吉等见帝曰发暴中人诚不敬然其母故宰相韦贯之姊年八十忧发成疾	它日，宰相李逢吉等见帝曰：发暴中人，诚不敬，然其母故宰相韦贯之姊，年八十，忧发成疾。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 3, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 0]
泽度金人必犯濮先遣三千骑往援金人果至败之	泽度金人必犯濮，先遣三千骑往援，金人果至，败之。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 0]
辛未夜子仪出陈于乾陵之南壬申未明虏众大至	辛未夜，子仪出陈于乾陵之南，壬申未明，虏众大至。	[13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
岁馀匈奴每来出战	岁馀，匈奴每来，出战。	[13, 2, 13, 13, 13, 2, 13, 0]
太皇好佛营建诸寺无复穷已令诸州各建五级浮图民力疲弊	太皇好佛，营建诸寺，无复穷已，令诸州各建五级浮图，民力疲弊。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
孟子曰我知言	孟子曰：我知言。	[13, 13, 3, 13, 13, 0]
多在清凉山五台之中今属北岱州西见有五台县清凉府	多在清凉山五台之中，今属北岱州西，见有五台县清凉府。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
朕早事前朝久居重位	朕早事前朝，久居重位。	[13, 13, 13, 13, 2, 13, 13, 13, 0]
先到为君后到为臣	先到为君，后到为臣。	[13, 13, 13, 2, 13, 13, 13, 0]
刘如璿事亲以孝闻	刘如璿事亲以孝闻。	[13, 13, 13, 13, 13, 13, 13, 0]
有昆和麦调畅六腑	有昆和麦，调畅六腑。	[13, 13, 13, 2, 13, 13, 13, 0]
被曰王安得亡国之言乎	被曰：王安得亡国之言乎？	[13, 3, 13, 13, 13, 13, 13, 13, 13, 9]
十一月丙子王黼致仕	十一月丙子，王黼致仕。	[13, 13, 13, 13, 2, 13, 13, 13, 0]
时太子詹事已除上又特令增员为二命兼之	时太子詹事已除，上又特令增员为二，命兼之。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 0]
谓东宫官属曰主上巡幸未还宫阙太子不幸至于大故汝等此时能以死报国乎	谓东宫官属曰：主上巡幸，未还宫阙，太子不幸至于大故，汝等此时能以死报国乎？	[13, 13, 13, 13, 13, 3, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 9]
寻何承天所上意存改革而置法简略今已乖远	寻何承天所上，意存改革，而置法简略，今已乖远。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
黄帝策天命而治天下德泽深后世	黄帝策天命而治天下，德泽深后世。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
征伐以正之明德以诛之止除元恶余无所问	征伐以正之，明德以诛之，止除元恶，余无所问。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
又教吏为缿筩及得投书削其主名而托以为豪桀大姓子弟所言	又教吏为缿筩，及得投书，削其主名，而托以为豪桀大姓子弟所言。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
丁亥西突厥肆叶护可汗遣使来朝	丁亥，西突厥肆叶护可汗遣使来朝。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
常乃再拜神人于袖中取一卷书授常常跪受之	常乃再拜。神人于袖中取一卷书，授常，常跪受之。	[13, 13, 13, 0, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 2, 13, 13, 13, 0]
壬申更封建安王宝寅为鄱阳王	壬申，更封建安王宝寅为鄱阳王。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
少精春秋左氏传	少精《春秋左氏传》。	[13, 10, 13, 13, 13, 13, 11]
乃讪上听言计共作慢词	乃讪上听言计，共作慢词。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
